From Class,To Class,References,From Entities,To Entities
org.graylog2.alerts.AbstractAlertCondition.NegativeCheckResult,org.graylog2.alerts.AbstractAlertCondition.CheckResult,2,2,2
org.graylog2.alerts.AbstractAlertCondition.NegativeCheckResult,org.graylog2.plugin.alarms.AlertCondition,1,1,1
org.graylog2.alerts.AbstractAlertConditionTest,org.graylog2.alerts.AlertConditionTest,23,4,8
org.graylog2.alerts.AbstractAlertConditionTest,org.graylog2.alerts.AlertService,8,1,1
org.graylog2.alerts.AbstractAlertConditionTest,org.graylog2.plugin.alarms.AlertCondition,3,3,1
org.graylog2.alerts.AbstractAlertConditionTest,org.graylog2.plugin.Tools,1,1,1
org.graylog2.alerts.AbstractAlertConditionTest.getDummyAlertCondition.(Anon_1),org.graylog2.alerts.AbstractAlertCondition,1,1,1
org.graylog2.alerts.AbstractAlertConditionTest.getDummyAlertCondition.(Anon_1),org.graylog2.plugin.alarms.AlertCondition.CheckResult,1,1,1
org.graylog2.alerts.AbstractAlertConditionTest.getDummyAlertCondition.(Anon_1),org.graylog2.plugin.Message,1,1,1
org.graylog2.alerts.Alert,org.graylog2.plugin.database.Persisted,1,1,1
org.graylog2.alerts.AlertConditionTest,org.graylog2.alerts.AlertConditionTest.getTestInstance.T,2,2,1
org.graylog2.alerts.AlertConditionTest,org.graylog2.alerts.AlertService,2,2,2
org.graylog2.alerts.AlertConditionTest,org.graylog2.alerts.AlertServiceImpl,2,1,2
org.graylog2.alerts.AlertConditionTest,org.graylog2.database.MongoConnection,1,1,1
org.graylog2.alerts.AlertConditionTest,org.graylog2.indexer.searches.Searches,1,1,1
org.graylog2.alerts.AlertConditionTest,org.graylog2.plugin.alarms.AlertCondition,2,2,1
org.graylog2.alerts.AlertConditionTest,org.graylog2.plugin.alarms.AlertCondition.CheckResult,9,4,4
org.graylog2.alerts.AlertConditionTest,org.graylog2.plugin.streams.Stream,2,2,2
org.graylog2.alerts.AlertConditionTest,org.graylog2.plugin.Tools,2,2,1
org.graylog2.alerts.AlertConditionTest.alertLastTriggered.(Anon_4),org.graylog2.alerts.AbstractAlertCondition.CheckResult,1,1,1
org.graylog2.alerts.AlertConditionTest.alertLastTriggered.(Anon_4),org.graylog2.plugin.alarms.AlertCondition.CheckResult,7,2,5
org.graylog2.alerts.AlertConditionTest.getTestInstance.T,org.graylog2.alerts.AbstractAlertCondition,1,1,1
org.graylog2.alerts.AlertConditionTest.setUp.(Anon_1),org.graylog2.alerts.AlertConditionTest,1,1,1
