org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	emptyProject	B2	0/14	(1645,22,F)(1723,47,F)(1787,130,F)(1937,20,F)(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	emptyProject	B4	0/10	(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	p	B2	0/14	(1645,22,F)(1723,47,F)(1787,130,F)(1937,20,F)(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	p	B4	0/10	(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	fileChooser	B2	0/14	(1645,22,F)(1723,47,F)(1787,130,F)(1937,20,F)(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	3-4-5-6-7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	fileChooser	B4	0/10	(2312,16,F)(2345,20,F)(2385,24,F)(2426,11,F)(2475,17,F)(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	7-8-9-10-11-12-13-14-15-16-
org.jhotdraw.app.action.OpenAction	public void actionPerformed(java.awt.event.ActionEvent) 	fileChooser	B7	0/5	(2519,46,F)(2582,77,F)(2679,12,F)(2708,25,F)(2771,21,F)	12-13-14-15-16-
org.jhotdraw.draw.SelectionTool	public void mousePressed(java.awt.event.MouseEvent) 	tracker	B1	0/14	(2529,29,F)(2567,40,F)(2616,23,F)(2652,14,F)(2682,41,F)(2753,40,F)(2810,14,F)(2844,39,F)(2925,19,F)(2968,22,F)(3011,29,F)(3075,33,F)(3154,18,F)(3188,23,F)	2-3-4-5-6-7-8-9-10-11-12-13-14-15-
org.jhotdraw.draw.SelectionTool	public void mousePressed(java.awt.event.MouseEvent) 	tracker	B8	0/2	(3154,18,F)(3188,23,F)	14-15-
org.jhotdraw.draw.action.JPopupButton	private void showPopup(java.awt.event.MouseEvent) 	popupMenu	B2	0/13	(5346,9,F)(5381,6,F)(5400,16,F)(5433,31,F)(5484,42,F)(5547,45,F)(5616,6,F)(5647,53,F)(5728,40,F)(5822,15,F)(5909,52,F)(5989,41,F)(6110,27,F)	2-3-4-5-6-7-8-9-10-11-12-13-14-
org.jhotdraw.draw.action.JPopupButton	private void showPopup(java.awt.event.MouseEvent) 	x	B2	0/13	(5346,9,F)(5381,6,F)(5400,16,F)(5433,31,F)(5484,42,F)(5547,45,F)(5616,6,F)(5647,53,F)(5728,40,F)(5822,15,F)(5909,52,F)(5989,41,F)(6110,27,F)	2-3-4-5-6-7-8-9-10-11-12-13-14-
org.jhotdraw.draw.action.JPopupButton	private void showPopup(java.awt.event.MouseEvent) 	y	B2	0/13	(5346,9,F)(5381,6,F)(5400,16,F)(5433,31,F)(5484,42,F)(5547,45,F)(5616,6,F)(5647,53,F)(5728,40,F)(5822,15,F)(5909,52,F)(5989,41,F)(6110,27,F)	2-3-4-5-6-7-8-9-10-11-12-13-14-
org.jhotdraw.draw.action.ToolBarButtonFactory	public static void addStrokeDashesButtonTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	strokeDashesPopupButton	B1	0/13	(18208,88,F)(18316,58,F)(18384,79,F)(18473,44,F)(18527,197,F)(18800,7,F)(18809,17,F)(18828,3,F)(18862,16,F)(18896,17,F)(18934,15,F)(18989,38,F)(19050,9,F)(19061,20,F)(19083,3,F)(19111,34,F)(19193,361,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-
